PLAYER_NAME,TEAM_CITY,RECENT_MIN,RECENT_FGM,RECENT_FGA,RECENT_FG3M,RECENT_FG3A,RECENT_FTM,RECENT_FTA,RECENT_OREB,RECENT_DREB,RECENT_REB,RECENT_AST,RECENT_STL,RECENT_BLK,RECENT_TOV,RECENT_PF,RECENT_PTS,RECENT_PLUS_MINUS
Franz Wagner,Orlando,31.5,5.5,10.5,0.0,2.5,2.5,3.5,1.0,4.5,5.5,3.5,1.0,2.0,3.5,2.5,13.5,16.0
Paolo Banchero,Orlando,33.5,10.0,16.0,1.0,4.0,8.0,10.0,1.5,7.0,8.5,5.5,0.5,0.0,5.0,1.0,29.0,18.5
Gary Harris,Orlando,26.5,4.0,6.5,2.5,5.0,0.0,0.0,0.0,3.0,3.0,2.5,1.5,0.5,0.0,0.5,10.5,14.0
Jalen Suggs,Orlando,29.5,5.0,8.0,2.5,5.0,0.5,1.0,0.0,3.5,3.5,2.5,1.0,1.0,3.0,5.0,13.0,18.5
Jaylen Brown,Boston,26.5,11.0,19.5,3.5,7.5,1.5,1.5,1.0,4.0,5.0,4.0,1.0,0.0,0.5,2.5,27.0,25.5
Jayson Tatum,Boston,31.0,9.5,16.0,4.5,7.0,6.0,6.0,0.0,5.5,5.5,4.0,0.5,0.5,2.0,2.0,29.5,28.5
Kristaps Porziņģis,Boston,30.0,6.5,13.0,2.5,5.0,8.0,8.0,3.5,5.5,9.0,1.5,0.5,1.0,0.5,1.5,23.5,21.5
Derrick White,Boston,26.0,5.0,8.0,3.5,5.5,0.0,0.0,0.5,4.5,5.0,8.0,1.0,1.0,1.0,1.5,13.5,28.5
Jrue Holiday,Boston,26.5,3.5,6.5,2.0,3.0,0.0,0.0,0.5,3.5,4.0,5.5,1.0,1.0,0.0,1.5,9.0,25.5
Tobias Harris,Philadelphia,37.5,12.0,19.0,4.0,7.0,1.5,2.0,1.5,7.0,8.5,2.5,1.5,0.5,0.5,3.0,29.5,13.0
Mo Bamba,Philadelphia,16.5,1.5,3.5,0.0,0.5,2.0,2.0,2.5,4.0,6.5,1.0,0.5,1.0,1.0,1.5,5.0,2.0
Ausar Thompson,Detroit,35.0,4.0,10.5,1.5,4.5,2.0,3.0,1.0,5.5,6.5,2.0,4.0,1.5,1.5,1.5,11.5,-9.0
Isaiah Stewart,Detroit,30.0,5.0,9.5,2.5,5.0,0.5,1.0,1.0,5.5,6.5,2.5,0.0,2.0,1.0,1.5,13.0,-10.0
Jalen Duren,Detroit,28.0,4.0,8.0,0.0,0.0,4.5,5.0,2.5,4.5,7.0,2.0,0.5,0.5,2.0,4.0,12.5,-17.5
Jaden Ivey,Detroit,28.0,4.5,14.0,0.5,7.0,4.5,5.0,1.0,1.0,2.0,2.0,0.0,0.5,0.5,4.5,14.0,-21.0
Cade Cunningham,Detroit,30.0,5.0,15.5,1.5,6.0,3.5,3.5,0.0,2.5,2.5,8.5,1.0,0.0,1.0,2.5,15.0,-9.0
Saddiq Bey,Atlanta,32.5,5.0,11.5,1.0,4.0,3.5,3.5,2.0,2.0,4.0,2.5,0.0,0.0,0.0,1.5,14.5,-5.5
Jalen Johnson,Atlanta,34.0,4.0,12.0,0.5,4.0,2.0,3.0,1.5,5.5,7.0,0.5,0.0,1.0,1.5,1.0,10.5,-24.0
